Franchise	Total	Releases	#1 Release	Lifetime Gross
Marvel Cinematic Universe	9,89,20,46,843	30	Avengers: Endgame	85,83,73,000
Star Wars	5,08,17,03,177	21	Star Wars: Episode VII - The Force Awakens	93,66,62,225
Disney Live Action Reimaginings	3,49,37,94,115	17	The Lion King	54,36,38,043
Spider-Man	3,26,91,68,524	10	Spider-Man: No Way Home	77,21,70,405
J.K. Rowling's Wizarding World	2,78,77,40,350	27	Harry Potter and the Deathly Hallows: Part 2	38,10,11,219
Avengers	2,61,95,52,260	4	Avengers: Endgame	85,83,73,000
X-Men	2,45,84,62,356	14	Deadpool	36,30,70,709
Batman	2,41,10,44,358	18	The Dark Knight	53,33,45,358
Harry Potter	2,39,41,46,874	25	Harry Potter and the Deathly Hallows: Part 2	38,10,11,219
James Bond	2,27,37,96,409	26	Skyfall	30,43,60,277
DC Extended Universe	2,25,05,55,854	11	Wonder Woman	41,25,63,408
Jurassic Park	1,88,45,78,659	9	Jurassic World	65,22,70,625
The Fast and the Furious	1,86,37,63,316	10	Furious 7	35,30,07,020
Middle Earth	1,85,30,02,901	12	The Lord of the Rings: The Return of the King	37,70,27,325
Transformers	1,58,24,01,601	7	Transformers: Revenge of the Fallen	40,21,11,870
Pirates of the Caribbean	1,45,17,80,833	5	Pirates of the Caribbean: Dead Man's Chest	42,33,15,812
The Hunger Games	1,45,15,38,526	4	The Hunger Games: Catching Fire	42,46,68,047
Shrek	1,41,96,08,493	5	Shrek 2	44,12,26,247
Star Trek	1,40,12,98,985	14	Star Trek	25,77,30,019
Twilight	1,36,59,22,347	7	The Twilight Saga: Eclipse	30,05,31,751
Toy Story	1,31,81,20,746	6	Toy Story 4	43,40,38,008
Despicable Me	1,22,02,49,440	4	Despicable Me 2	36,80,65,385
The Dark Knight Trilogy	1,18,98,49,975	5	The Dark Knight	53,33,45,358
Mission: Impossible	1,15,50,20,930	6	Mission: Impossible - Fallout	22,01,59,104
Superman	1,13,97,55,856	8	Batman v Superman: Dawn of Justice	33,03,60,194
The Lord of the Rings	1,06,69,84,110	10	The Lord of the Rings: The Return of the King	37,70,27,325
Iron Man	1,04,04,81,451	4	Iron Man 3	40,90,13,994
Indiana Jones	94,23,03,167	7	Indiana Jones and the Kingdom of the Crystal Skull	31,71,01,119
Frozen	87,83,26,587	3	Frozen II	47,73,73,578
The Incredibles	87,00,22,836	2	Incredibles 2	60,85,81,744
Finding Nemo	86,71,38,822	3	Finding Dory	48,62,95,561
Captain America	84,45,05,426	3	Captain America: Civil War	40,80,84,349
Jumanji	82,53,55,071	5	Jumanji: Welcome to the Jungle	40,45,15,480
The Hobbit	81,64,90,211	3	The Hobbit: An Unexpected Journey	30,30,03,568
Bourne	80,10,12,974	5	The Bourne Ultimatum	22,74,71,070
Planet of the Apes	79,40,23,990	9	Dawn of the Planet of the Apes	20,85,45,589
Ice Age	79,36,76,582	5	Ice Age 3: Dawn of the Dinosaurs	19,65,73,705
Rocky	79,20,40,919	9	Rocky IV	12,78,73,716
Avatar	76,05,07,625	2	Avatar	74,97,66,139
Star Wars Anthology	74,59,44,836	2	Rogue One: A Star Wars Story	53,21,77,324
The Conjuring Universe	73,82,03,662	8	The Conjuring	13,74,00,141
Guardians of the Galaxy	72,35,31,701	3	Guardians of the Galaxy Vol. 2	38,98,13,101
Men in Black	70,34,48,488	5	Men in Black	25,06,90,539
Thor	70,24,51,053	3	Thor: Ragnarok	31,50,58,289
Deadpool	68,76,62,444	3	Deadpool	36,30,70,709
Madagascar	67,38,48,864	4	Madagascar 3: Europe's Most Wanted	21,63,91,482
Terminator	67,19,59,968	7	Terminator 2: Judgment Day	20,48,43,345
Alvin and the Chipmunks	66,27,43,627	5	Alvin and the Chipmunks: The Squeakquel	21,96,14,612
The Hangover	64,39,86,880	3	The Hangover	27,73,22,503
The Matrix	63,06,18,358	5	The Matrix Reloaded	28,15,76,461
LEGO	59,85,99,139	4	The Lego Movie	25,77,60,692
Fockers	59,39,43,805	3	Meet the Fockers	27,92,61,160
Alien	59,31,48,322	11	Prometheus	12,64,77,084
Cars	58,84,36,493	3	Cars	24,40,82,982
Teenage Mutant Ninja Turtles	58,36,01,790	6	Teenage Mutant Ninja Turtles	19,12,04,754
Monsterverse	58,01,45,113	4	Godzilla	20,06,76,069
Madea	56,97,84,278	9	Madea Goes to Jail	9,05,08,336
Ocean's 11	56,63,34,865	4	Ocean's Eleven	18,34,17,150
Godzilla	56,50,41,494	9	Godzilla	20,06,76,069
Halloween	56,00,26,815	13	Halloween	15,93,42,015
Monsters Inc.	55,91,35,020	4	Monsters University	26,84,92,764
How to Train Your Dragon	55,53,83,660	3	How to Train Your Dragon	21,75,81,231
The Mummy	55,09,44,126	4	The Mummy Returns	20,20,19,785
King Kong	54,43,74,596	5	King Kong	21,80,80,025
Night at the Museum	54,18,53,610	3	Night at the Museum	25,08,63,268
It	54,04,22,102	3	It	32,74,81,748
Wolverine	53,87,17,077	3	Logan	22,62,77,068
The Chronicles of Narnia	53,77,19,397	3	The Chronicles of Narnia: The Lion the Witch and the Wardrobe	29,17,10,957
Planet of the Apes (2011-2017)	53,21,85,936	3	Dawn of the Planet of the Apes	20,85,45,589
The Secret Life of Pets	52,72,58,725	2	The Secret Life of Pets	36,83,84,330
Kung Fu Panda	52,42,12,273	3	Kung Fu Panda	21,54,34,591
Rush Hour	50,74,77,118	3	Rush Hour 2	22,61,64,286
Die Hard	50,32,76,140	7	Live Free or Die Hard	13,45,29,403
Jack Ryan	49,70,36,395	5	Clear and Present Danger	12,21,87,717
Home Alone	49,02,29,274	3	Home Alone	28,57,61,243
Lethal Weapon	48,76,37,243	4	Lethal Weapon 2	14,72,53,986
Hotel Transylvania	48,55,23,174	3	Hotel Transylvania 2	16,97,00,110
Ghostbusters	48,44,24,109	8	Ghostbusters	22,92,42,989
Saw	47,79,99,086	10	Saw II	8,70,39,965
Austin Powers	47,32,31,964	3	Austin Powers in Goldmember	21,33,07,889
Scary Movie	46,10,58,392	5	Scary Movie	15,70,19,771
