Rank	Movie	Lifetime Gross	Year
1	Star Wars: Episode VII - The Force Awakens	93,66,62,225	2015
2	Avengers: Endgame	85,83,73,000	2019
3	Spider-Man: No Way Home	77,21,70,405	2021
4	Avatar	76,05,07,625	2009
5	Black Panther	70,04,26,566	2018
6	Avengers: Infinity War	67,88,15,482	2018
7	Titanic	65,93,63,944	1997
8	Jurassic World	65,23,85,625	2015
9	The Avengers	62,33,57,910	2012
10	Star Wars: Episode VIII - The Last Jedi	62,01,81,382	2017
11	Incredibles 2	60,85,81,744	2018
12	The Lion King	54,36,38,043	2019
13	The Dark Knight	53,48,58,444	2008
14	Rogue One: A Star Wars Story	53,21,77,324	2016
15	Star Wars: Episode IX - The Rise of Skywalker	51,52,02,542	2019
16	Beauty and the Beast	50,44,81,165	2017
17	Finding Dory	48,62,95,561	2016
18	Frozen II	47,73,73,578	2019
19	Star Wars: Episode I - The Phantom Menace	47,45,44,677	1999
20	Star Wars: Episode IV - A New Hope	46,09,98,507	1977
21	Avengers: Age of Ultron	45,90,05,868	2015
22	The Dark Knight Rises	44,81,39,099	2012
23	Shrek 2	44,12,26,247	2004
24	E.T. the Extra-Terrestrial	43,51,10,554	1982
25	Toy Story 4	43,40,38,008	2019
26	Captain Marvel	42,68,29,839	2019
27	The Hunger Games: Catching Fire	42,46,68,047	2013
28	Pirates of the Caribbean: Dead Man's Chest	42,33,15,812	2006
29	The Lion King	42,27,83,777	1994
30	Jurassic World: Fallen Kingdom	41,77,19,760	2018
31	Toy Story 3	41,50,04,880	2010
32	Wonder Woman	41,28,15,408	2017
33	Iron Man 3	40,90,13,994	2013
34	Captain America: Civil War	40,80,84,349	2016
35	The Hunger Games	40,80,10,692	2012
36	Spider-Man	40,70,22,860	2002
37	Jumanji: Welcome to the Jungle	40,45,40,171	2017
38	Jurassic Park	40,42,14,720	1993
39	Transformers: Revenge of the Fallen	40,21,11,870	2009
40	Frozen	40,09,53,009	2013
41	Spider-Man: Far from Home	39,05,32,085	2019
42	Guardians of the Galaxy Vol. 2	38,98,13,101	2017
43	Harry Potter and the Deathly Hallows: Part 2	38,14,09,310	2011
44	Finding Nemo	38,08,43,261	2003
45	Star Wars: Episode III - Revenge of the Sith	38,02,70,577	2005
46	The Lord of the Rings: The Return of the King	37,78,45,905	2003
47	Spider-Man 2	37,35,85,825	2004
48	The Passion of the Christ	37,07,82,930	2004
49	The Secret Life of Pets	36,83,84,330	2016
50	Despicable Me 2	36,80,65,385	2013
51	The Jungle Book	36,40,01,123	2016
52	Deadpool	36,30,70,709	2016
53	Inside Out	35,69,21,711	2015
54	Aladdin	35,55,59,216	2019
55	Furious 7	35,30,07,020	2015
56	Transformers: Dark of the Moon	35,23,90,543	2011
57	American Sniper	35,01,26,372	2014
58	The Lord of the Rings: The Two Towers	34,25,51,365	2002
59	Zootopia	34,12,68,248	2016
60	The Hunger Games: Mockingjay - Part 1	33,71,35,885	2014
61	Spider-Man 3	33,65,30,303	2007
62	Minions	33,60,45,770	2015
63	Joker	33,54,51,311	2019
64	Aquaman	33,50,61,807	2018
65	Spider-Man: Homecoming	33,42,01,140	2017
66	Alice in Wonderland	33,41,91,110	2010
67	Guardians of the Galaxy	33,37,18,600	2014
68	Forrest Gump	33,04,55,270	1994
69	Batman v Superman: Dawn of Justice	33,03,60,194	2016
70	It	32,88,28,874	2017
71	Suicide Squad	32,51,00,054	2016
72	Deadpool 2	32,45,91,735	2018
73	Shrek the Third	32,27,19,944	2007
74	Jumanji: The Next Level	32,03,14,960	2019
75	Transformers	31,92,46,193	2007
76	Iron Man	31,90,34,126	2008
77	Harry Potter and the Sorcerer's Stone	31,88,86,962	2001
